Year,Region Name,Median Price
2018,Worcester County,6458316
2019,Worcester County,6670549
2020,Worcester County,1714288
1996,Woodward County,501746
1997,Woodward County,523456
1998,Woodward County,566835
1999,Woodward County,599898
2000,Woodward County,615918
2001,Woodward County,642303
2002,Woodward County,668165
2003,Woodward County,697472
2004,Woodward County,732802
2005,Woodward County,774944
2006,Woodward County,813690
2007,Woodward County,858124
2008,Woodward County,887742
2009,Woodward County,922560
2010,Woodward County,903148
2011,Woodward County,887100
2012,Woodward County,920652
2013,Woodward County,940977
2014,Woodward County,1001007
2015,Woodward County,1084825
2016,Woodward County,1117969
2017,Woodward County,1174787
2018,Woodward County,1228902
2019,Woodward County,1285403
2020,Woodward County,332765
1996,Woodson County,
1997,Woodson County,
1998,Woodson County,
1999,Woodson County,
2000,Woodson County,
2001,Woodson County,
2002,Woodson County,
2003,Woodson County,
2004,Woodson County,
2005,Woodson County,
2006,Woodson County,
2007,Woodson County,
2008,Woodson County,
2009,Woodson County,
2010,Woodson County,
2011,Woodson County,
2012,Woodson County,
2013,Woodson County,
2014,Woodson County,
2015,Woodson County,
2016,Woodson County,
2017,Woodson County,711834
2018,Woodson County,798500
2019,Woodson County,786115
2020,Woodson County,192356
1996,Woods County,
1997,Woods County,
1998,Woods County,
1999,Woods County,
2000,Woods County,
2001,Woods County,
2002,Woods County,
2003,Woods County,
2004,Woods County,
2005,Woods County,
2006,Woods County,
2007,Woods County,
2008,Woods County,
2009,Woods County,
2010,Woods County,
2011,Woods County,441417
2012,Woods County,653348
2013,Woods County,670692
2014,Woods County,696318
2015,Woods County,754452
2016,Woods County,789316
2017,Woods County,809195
2018,Woods County,852233
2019,Woods County,888997
2020,Woods County,227649
1996,Woodruff County,
1997,Woodruff County,
1998,Woodruff County,167138
1999,Woodruff County,350040
2000,Woodruff County,380544
2001,Woodruff County,388857
2002,Woodruff County,386810
2003,Woodruff County,384081
2004,Woodruff County,408793
2005,Woodruff County,436009
2006,Woodruff County,447987
2007,Woodruff County,460626
2008,Woodruff County,446968
2009,Woodruff County,426095
2010,Woodruff County,417149
2011,Woodruff County,412889
2012,Woodruff County,408775
2013,Woodruff County,430885
2014,Woodruff County,439913
2015,Woodruff County,451944
2016,Woodruff County,460919
2017,Woodruff County,467740
2018,Woodruff County,494631
2019,Woodruff County,529414
2020,Woodruff County,135565
1996,Woodford County,
1997,Woodford County,
1998,Woodford County,
1999,Woodford County,
